feature,label
"[-101.43982696533203, 102.3260269165039, 2.8018593788146973, -3.5583443641662598, -32.85115051269531, 11.632089614868164, 1.8637713193893433, 4.040785312652588, 2.625631809234619, -0.1365518718957901, 1.77303946018219, 9.207612037658691, 4.416038513183594]",marah
"[-50.3202018737793, 64.50520324707031, -16.40043067932129, 6.232061386108398, -23.891918182373047, 11.093798637390137, 5.066461563110352, -6.791205406188965, 5.544776916503906, 13.078581809997559, 9.415963172912598, 6.590655326843262, -3.750312566757202]",marah
"[-55.47674560546875, 45.965911865234375, -27.13599395751953, 15.189349174499512, -9.523436546325684, 17.989303588867188, 4.8256516456604, -9.258302688598633, 11.595866203308105, 10.76771068572998, 16.25139617919922, 13.418328285217285, -2.991497039794922]",marah
"[-50.77071762084961, 63.2934455871582, -29.262041091918945, 13.740679740905762, -6.686740398406982, 11.304777145385742, 5.498754978179932, 0.49013689160346985, 1.4995410442352295, 7.532817363739014, 0.6383883357048035, 4.700307846069336, -3.3036985397338867]",marah
"[-126.59508514404297, 52.87360382080078, -14.8716402053833, 32.661434173583984, 6.03425407409668, 16.130722045898438, 9.333385467529297, 9.528788566589355, 5.441296100616455, 11.291390419006348, -6.744644641876221, 0.1574767529964447, -14.50864028930664]",marah
"[-297.276611328125, 11.164591789245605, -15.438372611999512, 24.482295989990234, 8.675793647766113, 11.683294296264648, -5.970961570739746, 3.4009201526641846, -3.2862820625305176, 16.93952751159668, 5.99711799621582, -4.876360893249512, -1.835941195487976]",marah
"[-170.07615661621094, 72.58448028564453, 7.746423244476318, 37.11256408691406, -6.287552356719971, 23.65043830871582, -0.04689187929034233, 0.549980103969574, 6.9178242683410645, 13.169486045837402, 5.067530155181885, -0.10982316732406616, -7.74744176864624]",marah
"[-105.16119384765625, 56.938209533691406, 0.9783801436424255, 24.827205657958984, -10.764551162719727, 19.17002296447754, -3.61753511428833, -2.547592878341675, 3.5775539875030518, 13.305862426757812, 11.813516616821289, 4.533998966217041, -4.130288600921631]",marah
"[-116.61930084228516, 78.63539123535156, -1.3855223655700684, 16.17514419555664, -4.660665988922119, 26.735687255859375, -1.6628029346466064, -0.56375652551651, 10.350630760192871, 2.239140033721924, 1.4582151174545288, 2.719109058380127, -5.84365177154541]",marah
"[-116.49881744384766, 75.3834457397461, -11.150625228881836, 16.189231872558594, -2.0280263423919678, 26.764535903930664, 1.2423131465911865, -3.5929858684539795, 13.228434562683105, 10.266008377075195, 5.291834354400635, -7.012793064117432, -10.217042922973633]",marah
"[-117.11811065673828, 66.19458770751953, -13.25624942779541, 15.859724998474121, -9.173185348510742, 22.474546432495117, 10.873419761657715, -6.223487377166748, 4.504995822906494, 4.648958683013916, 3.982670307159424, 4.656998634338379, -9.802203178405762]",marah
"[-95.75335693359375, 104.46143341064453, -30.123085021972656, -2.1110312938690186, -15.41973876953125, 13.763155937194824, 3.891494035720825, 1.054140329360962, -0.6117581725120544, -1.9335862398147583, 4.407259941101074, 1.9117965698242188, -8.967070579528809]",marah
"[-111.36109161376953, 99.68821716308594, -18.523212432861328, 0.0021079834550619125, -12.602680206298828, 15.307948112487793, -2.021174907684326, -6.584475517272949, -0.9082849621772766, 5.859313011169434, 9.594905853271484, 2.924623966217041, -3.4337897300720215]",marah
"[-129.8735809326172, 74.81876373291016, -21.843645095825195, 21.096832275390625, -6.7199296951293945, 22.20991325378418, -3.2537665367126465, -5.446052551269531, -1.9231480360031128, 7.8503618240356445, 11.388999938964844, 12.982915878295898, 4.279641151428223]",marah
"[-159.5768280029297, 83.50267028808594, -30.2709903717041, 12.977279663085938, -14.16162395477295, 25.466732025146484, -2.165492057800293, -8.881843566894531, 9.457905769348145, 9.968578338623047, 5.491019248962402, -0.08634526282548904, -3.871973991394043]",marah
"[-177.87509155273438, 86.21575164794922, -14.356070518493652, 18.695087432861328, -0.11365543305873871, 31.00220489501953, 9.22554874420166, -1.3252289295196533, 15.256939888000488, 9.841887474060059, 5.130043983459473, -6.151159763336182, -9.78708553314209]",marah
"[-225.25, 59.952674865722656, -27.21690559387207, -0.7089895606040955, -26.736345291137695, 1.4967749118804932, -9.040928840637207, -3.17453670501709, -2.0823917388916016, -3.6409780979156494, 6.224028587341309, 12.760173797607422, 5.581233024597168]",marah
"[-150.48020935058594, 104.72126770019531, -15.765528678894043, 11.260466575622559, 5.445267677307129, 24.836761474609375, 1.2790818214416504, 1.9998148679733276, 7.585078716278076, 12.70167064666748, 3.560049533843994, 4.143847465515137, -2.028385639190674]",marah
"[-98.93912506103516, 106.02433013916016, -11.64710521697998, 8.624882698059082, 20.850290298461914, 33.88269805908203, 16.93848419189453, 2.7429392337799072, -0.16845263540744781, 0.3592209219932556, 6.536224365234375, -3.403285503387451, -7.539481163024902]",marah
"[-211.38784790039062, 119.27008819580078, 11.112025260925293, 18.835277557373047, 11.403717994689941, 29.224397659301758, 14.052532196044922, 2.331353187561035, 6.4362711906433105, 2.309779167175293, 5.401474952697754, -0.34392857551574707, -5.496415615081787]",marah
"[-219.87969970703125, 113.96786499023438, 2.774254083633423, 8.702849388122559, -7.99975061416626, 24.283443450927734, 3.276606798171997, -1.6338794231414795, 1.580797791481018, 3.093839645385742, 12.626261711120605, 4.114635467529297, -4.218494892120361]",marah
"[-267.729736328125, 112.10468292236328, 0.9731267094612122, 14.820185661315918, -6.897087574005127, 17.829214096069336, 3.6795029640197754, 2.707824945449829, 0.22092171013355255, 6.446145534515381, 11.954646110534668, 6.857998371124268, 0.32873621582984924]",marah
"[-286.9793395996094, 91.77837371826172, -2.900466203689575, 23.83867073059082, 15.64432430267334, 18.24663543701172, 2.1829988956451416, 11.234622955322266, 5.435663223266602, 2.076327085494995, 1.861249566078186, -1.5185928344726562, -1.1035646200180054]",marah
"[-289.6285095214844, 106.40745544433594, 2.808086395263672, 12.914315223693848, 6.937699794769287, 24.235788345336914, 4.222871780395508, 2.2240958213806152, 3.1173789501190186, 2.563459634780884, 3.283146619796753, 3.3178043365478516, -0.28662991523742676]",marah
